,Product_id,Shape,Carat,Clarity,Colour,Cut,Polish,Symmetry,Fluorescence,Measurements,Lab,Price,Product_url
0,2106452, CUSHION,0.55, SI2, N, VG, EX, VG, N, 4.56-4.44×3.09, GIA,$673.61,https://capitalwholesalediamonds.com/product/0-55-ct-cushion-11/
1,2042329, CUSHION,0.52, SI2, Y-Z, EX, EX, VG, F, 4.40-4.31×2.99, GIA,$735.67,https://capitalwholesalediamonds.com/product/0-52-ct-cushion-4/
2,2055268, CUSHION,0.5, SI1, L, VG, EX, VG, N, 4.87-4.19×2.89, GIA,$768.14,https://capitalwholesalediamonds.com/product/0-5-ct-cushion-214/
3,2128779, CUSHION,0.5, VS2, M, EX, EX, VG, F, 4.73-4.28×2.84, GIA,$770.64,https://capitalwholesalediamonds.com/product/0-5-ct-cushion-165/
4,2103991, CUSHION,0.51, SI1, M, EX, EX, VG, N, 4.47-4.44×3.05, GIA,$784.13,https://capitalwholesalediamonds.com/product/0-51-ct-cushion-118/
5,2134348, CUSHION,0.5, SI1, K, FG, EX, VG, N, 4.27-4.14×3.06, GIA,$825.63,https://capitalwholesalediamonds.com/product/0-5-ct-cushion-486/
6,2135756, CUSHION,0.5, VS2, M, EX, VG, VG, F, 4.60-4.31×2.94, GIA,$828.95,https://capitalwholesalediamonds.com/product/0-5-ct-cushion-468/
7,2088046, CUSHION,0.5, VS1, M, EX, EX, VG, F, 4.98-4.25×2.84, GIA,$839.10,https://capitalwholesalediamonds.com/product/0-5-ct-cushion-60/
8,2136997, CUSHION,0.5, VS1, N, EX, EX, VG, F, 4.69-4.34×2.94, GIA,$839.93,https://capitalwholesalediamonds.com/product/0-5-ct-cushion-488/
9,2105002, CUSHION,0.56, SI1, M, EX, EX, EX, F, 4.53-4.50×3.12, GIA,$845.52,https://capitalwholesalediamonds.com/product/0-56-ct-cushion-16/
