Product_id,Shape,Weight,Clarity,Colour,Cut,Polish,Symmetry,Fluorescence,Messurements,Price,Product_url
 2106452, CUSHION, 0.55, SI2, N, VG, EX, EX, VG, N,$673.61,https://capitalwholesalediamonds.com/product/0-55-ct-cushion-11/
 2042329, CUSHION, 0.52, SI2, Y-Z, EX, EX, EX, VG, F,$735.67,https://capitalwholesalediamonds.com/product/0-52-ct-cushion-4/
 2055268, CUSHION, 0.5, SI1, L, VG, EX, EX, VG, N,$768.14,https://capitalwholesalediamonds.com/product/0-5-ct-cushion-214/
 2128779, CUSHION, 0.5, VS2, M, EX, EX, EX, VG, F,$770.64,https://capitalwholesalediamonds.com/product/0-5-ct-cushion-165/
 2103991, CUSHION, 0.51, SI1, M, EX, EX, EX, VG, N,$784.13,https://capitalwholesalediamonds.com/product/0-51-ct-cushion-118/
 2134348, CUSHION, 0.5, SI1, K, FG, EX, EX, VG, N,$825.63,https://capitalwholesalediamonds.com/product/0-5-ct-cushion-486/
 2135756, CUSHION, 0.5, VS2, M, EX, VG, VG, VG, F,$828.95,https://capitalwholesalediamonds.com/product/0-5-ct-cushion-468/
 2088046, CUSHION, 0.5, VS1, M, EX, EX, EX, VG, F,$839.10,https://capitalwholesalediamonds.com/product/0-5-ct-cushion-60/
 2136997, CUSHION, 0.5, VS1, N, EX, EX, EX, VG, F,$839.93,https://capitalwholesalediamonds.com/product/0-5-ct-cushion-488/
 2105002, CUSHION, 0.56, SI1, M, EX, EX, EX, EX, F,$845.52,https://capitalwholesalediamonds.com/product/0-56-ct-cushion-16/
 2101824, CUSHION, 0.54, VS1, L, EX, EX, EX, VG, ST,$848.04,https://capitalwholesalediamonds.com/product/0-54-ct-cushion-4/
 2122399, CUSHION, 0.5, VS1, L, VG, EX, EX, VG, F,$859.47,https://capitalwholesalediamonds.com/product/0-5-ct-cushion-466/
 2114543, CUSHION, 0.6, SI1, M, EX, EX, EX, VG, N,$871.00,https://capitalwholesalediamonds.com/product/0-6-ct-cushion-16/
 2111511, CUSHION, 0.5, VS2, K, VG, EX, EX, GD, F,$871.25,https://capitalwholesalediamonds.com/product/0-5-ct-cushion-88/
 2064609, CUSHION, 0.7, SI1, S-T, EX, EX, EX, VG, F,$875.55,https://capitalwholesalediamonds.com/product/0-7-ct-cushion-52/
 2134340, CUSHION, 0.58, VS2, W-X, EX, EX, EX, VG, M,$880.13,https://capitalwholesalediamonds.com/product/0-58-ct-cushion-7/
 2127698, CUSHION, 0.51, SI1, U-V, EX, EX, EX, GD, N,$881.09,https://capitalwholesalediamonds.com/product/0-51-ct-cushion-125/
 2127690, CUSHION, 0.52, VS2, Y-Z, EX, VG, VG, VG, N,$892.00,https://capitalwholesalediamonds.com/product/0-52-ct-cushion-55/
 2120154, CUSHION, 0.5, SI1, K, VG, EX, EX, VG, F,$898.27,https://capitalwholesalediamonds.com/product/0-5-ct-cushion-142/
 2134351, CUSHION, 0.6, SI1, Y-Z, GD, EX, EX, VG, N,$899.28,https://capitalwholesalediamonds.com/product/0-6-ct-cushion-32/
 2065850, CUSHION, 0.5, VS1, K, GD, EX, EX, VG, F,$901.65,https://capitalwholesalediamonds.com/product/0-5-ct-cushion-222/
 2138235, CUSHION, 0.5, VS2, L, EX, EX, EX, VG, F,$905.03,https://capitalwholesalediamonds.com/product/0-5-ct-cushion-492/
 2135768, CUSHION, 0.5, SI2, J, EX, EX, EX, VG, N,$908.41,https://capitalwholesalediamonds.com/product/0-5-ct-cushion-527/
 2049537, CUSHION, 0.53, VVS1, K, EX, EX, EX, VG, M,$908.98,https://capitalwholesalediamonds.com/product/0-53-ct-cushion-42/
 2087106, CUSHION, 0.5, VS2, K, VG, EX, EX, VG, F,$909.27,https://capitalwholesalediamonds.com/product/0-5-ct-cushion-57/
 2129794, CUSHION, 0.5, SI1, S-T, EX, EX, EX, VG, M,$910.07,https://capitalwholesalediamonds.com/product/0-5-ct-cushion-240/
 2098673, CUSHION, 0.51, VS2, K, EX, EX, EX, VG, N,$911.76,https://capitalwholesalediamonds.com/product/0-51-ct-cushion-71/
 2130932, CUSHION, 0.5, SI1, K, EX, EX, EX, EX, F,$928.67,https://capitalwholesalediamonds.com/product/0-5-ct-cushion-469/
 2042731, CUSHION, 0.5,, FANCY, VG, VG, VG, VG, F,$931.19,https://capitalwholesalediamonds.com/product/0-5-ct-cushion-6/
 2135754, CUSHION, 0.5, VS2, K, VG, EX, EX, GD, F,$934.62,https://capitalwholesalediamonds.com/product/0-5-ct-cushion-548/
 2106440, CUSHION, 0.51, VS2, J, GD, EX, EX, VG, F,$940.84,https://capitalwholesalediamonds.com/product/0-51-ct-cushion-74/
 2132912, CUSHION, 0.65, VS2, U-V, EX, EX, EX, GD, N,$941.85,https://capitalwholesalediamonds.com/product/0-65-ct-cushion-3/
