Product_id,Shape,Carat,Clarity,Colour,Cut,Polish,Symmetry,Fluorescence,Measurements,Lab,Price,Product_url
 2103958, CUSHION, 0.81, SI1, I, EX, EX, EX, N, 5.67-4.93×3.35, GIA,"$2,293.10",https://capitalwholesalediamonds.com/product/0-81-ct-cushion-64/
 2054050, CUSHION, 0.7, VS2, E, EX, EX, VG, F, 4.96-4.83×3.27, GIA,"$2,293.17",https://capitalwholesalediamonds.com/product/0-7-ct-cushion-336/
 2103952, CUSHION, 0.91, SI2, K, EX, EX, VG, N, 5.37-5.33×3.71, GIA,"$2,293.28",https://capitalwholesalediamonds.com/product/0-91-ct-cushion-47/
 2067100, CUSHION, 0.81, VVS2, I, VG, EX, EX, F, 5.55-4.79×3.43, GIA,"$2,294.11",https://capitalwholesalediamonds.com/product/0-81-ct-cushion-12/
 2107829, CUSHION, 0.8, VS1, I, EX, EX, VG, N, 5.13-5.11×3.56, GIA,"$2,294.76",https://capitalwholesalediamonds.com/product/0-8-ct-cushion-85/
 2099789, CUSHION, 0.7, VS1, G, GD, EX, VG, N, 4.76-4.73×3.44, GIA,"$2,295.20",https://capitalwholesalediamonds.com/product/0-7-ct-cushion-393/
 2126561, CUSHION, 0.7, VS1, G, EX, EX, VG, M, 5.02-4.87×3.38, GIA,"$2,295.20",https://capitalwholesalediamonds.com/product/0-7-ct-cushion-437/
 2082553, CUSHION, 0.7, VVS1, I, EX, EX, EX, N, 5.23-4.90×3.20, GIA,"$2,295.51",https://capitalwholesalediamonds.com/product/0-7-ct-cushion-92/
 2128737, CUSHION, 0.83, VVS1, I, EX, EX, VG, M, 5.93-4.98×3.38, GIA,"$2,295.85",https://capitalwholesalediamonds.com/product/0-83-ct-cushion-13/
 2050688, CUSHION, 0.7, VS2, F, VG, EX, VG, F, 4.89-4.80×3.34, GIA,"$2,297.64",https://capitalwholesalediamonds.com/product/0-7-ct-cushion-337/
 2024431, CUSHION, 0.8, VVS1, I, VG, VG, VG, N, 5.17-5.09×3.56, GIA,"$2,298.56",https://capitalwholesalediamonds.com/product/0-8-ct-cushion-8/
 2115693, CUSHION, 0.7, VVS2, I, EX, EX, VG, N, 5.04-4.74×3.29, GIA,"$2,298.58",https://capitalwholesalediamonds.com/product/0-7-ct-cushion-218/
 2115706, CUSHION, 0.7, VS2, H, EX, EX, EX, N, 5.30-4.70×3.25, GIA,"$2,298.79",https://capitalwholesalediamonds.com/product/0-7-ct-cushion-580/
 2130896, CUSHION, 0.75, SI1, H, EX, EX, EX, N, 5.11-5.08×3.52, GIA,"$2,299.57",https://capitalwholesalediamonds.com/product/0-75-ct-cushion-137/
 2095288, CUSHION, 0.76, VS2, I, EX, EX, VG, N, 5.64-4.77×3.30, GIA,"$2,300.12",https://capitalwholesalediamonds.com/product/0-76-ct-cushion-13/
 2138692, CUSHION, 0.62, VVS2, FANCY, EX, EX, VG, M, 5.02-4.49×3.13, GIA,"$2,300.71",https://capitalwholesalediamonds.com/product/0-62-ct-cushion-13/
 2119263, CUSHION, 0.7, VS2, G, VG, EX, EX, N, 5.88-4.40×3.14, GIA,"$2,301.98",https://capitalwholesalediamonds.com/product/0-7-ct-cushion-412/
 2135678, CUSHION, 0.7, VS1, F, VG, EX, GD, N, 4.94-4.91×3.43, GIA,"$2,302.37",https://capitalwholesalediamonds.com/product/0-7-ct-cushion-680/
 2057974, CUSHION, 0.7, VS1, F, EX, EX, GD, N, 5.17-4.78×3.24, GIA,"$2,303.41",https://capitalwholesalediamonds.com/product/0-7-ct-cushion-34/
 2078462, CUSHION, 0.71, VS2, H, EX, EX, VG, N, 5.30-4.77×3.31, GIA,"$2,303.73",https://capitalwholesalediamonds.com/product/0-71-ct-cushion-156/
 2132845, CUSHION, 0.71, VS2, F, GD, EX, EX, N, 4.86-4.74×3.50, GIA,"$2,304.98",https://capitalwholesalediamonds.com/product/0-71-ct-cushion-179/
 2021573, CUSHION, 0.7, VVS2, G, VG, EX, VG, N, 5.01-4.70×3.26, GIA,"$2,305.45",https://capitalwholesalediamonds.com/product/0-7-ct-cushion-28/
 2122369, CUSHION, 0.7, VS1, H, EX, EX, VG, M, 5.04-4.83×3.33, GIA,"$2,305.79",https://capitalwholesalediamonds.com/product/0-7-ct-cushion-601/
 2097724, CUSHION, 0.7, SI1, E, VG, EX, VG, N, 5.26-4.66×3.34, GIA,"$2,306.53",https://capitalwholesalediamonds.com/product/0-7-ct-cushion-395/
 2114451, CUSHION, 0.91, VS2, J, VG, EX, VG, M, 5.40-5.15×3.69, GIA,"$2,306.72",https://capitalwholesalediamonds.com/product/0-91-ct-cushion-12/
 2136961, CUSHION, 0.7, VVS2, F, GD, EX, VG, F, 4.94-4.73×3.48, GIA,"$2,306.98",https://capitalwholesalediamonds.com/product/0-7-ct-cushion-669/
 2115694, CUSHION, 0.7, VVS2, I, EX, EX, EX, N, 6.02-4.55×3.05, GIA,"$2,309.03",https://capitalwholesalediamonds.com/product/0-7-ct-cushion-589/
 2117980, CUSHION, 0.82, VVS2, J, EX, EX, VG, N, 5.24-5.13×3.51, GIA,"$2,310.64",https://capitalwholesalediamonds.com/product/0-82-ct-cushion-20/
 2079627, CUSHION, 0.7, SI1, F, EX, EX, VG, N, 5.90-4.52×3.14, GIA,"$2,311.19",https://capitalwholesalediamonds.com/product/0-7-ct-cushion-112/
 2056345, CUSHION, 0.8, VS1, I, EX, EX, EX, F, 5.67-4.91×3.32, GIA,"$2,311.40",https://capitalwholesalediamonds.com/product/0-8-ct-cushion-172/
 2050679, CUSHION, 0.75, VVS2, F, EX, EX, VG, ST, 5.08-4.96×3.37, GIA,"$2,311.66",https://capitalwholesalediamonds.com/product/0-75-ct-cushion-97/
 2062788, CUSHION, 0.72, VS2, F, EX, EX, VG, M, 5.55-4.69×3.19, GIA,"$2,311.74",https://capitalwholesalediamonds.com/product/0-72-ct-cushion-26/
 2111455, CUSHION, 0.7, VS2, H, EX, VG, VG, N, 5.07-4.78×3.33, GIA,"$2,312.31",https://capitalwholesalediamonds.com/product/0-7-ct-cushion-214/
 2036999, CUSHION, 0.7, VS2, G, EX, EX, VG, N, 5.17-4.65×3.16, GIA,"$2,312.44",https://capitalwholesalediamonds.com/product/0-7-ct-cushion-467/
 2138186, CUSHION, 0.9, VS2, J, VG, EX, VG, N, 5.38-5.18×3.71, GIA,"$2,312.93",https://capitalwholesalediamonds.com/product/0-9-ct-cushion-167/
 2032695, CUSHION, 0.7, VS2, F, EX, EX, VG, N, 5.23-4.78×3.25, GIA,"$2,315.74",https://capitalwholesalediamonds.com/product/0-7-ct-cushion-274/
 2115692, CUSHION, 0.7, VVS2, H, EX, EX, VG, F, 5.61-4.67×3.10, GIA,"$2,316.89",https://capitalwholesalediamonds.com/product/0-7-ct-cushion-582/
 2134274, CUSHION, 0.7, VS2, D, EX, EX, VG, M, 5.05-4.99×3.22, GIA,"$2,317.01",https://capitalwholesalediamonds.com/product/0-7-ct-cushion-734/
 2095292, CUSHION, 0.71, SI1, E, EX, VG, VG, F, 5.62-4.71×3.18, GIA,"$2,317.75",https://capitalwholesalediamonds.com/product/0-71-ct-cushion-144/
 2096180, CUSHION, 0.7, VS1, D, EX, EX, VG, ST, 5.21-4.82×3.35, GIA,"$2,317.90",https://capitalwholesalediamonds.com/product/0-7-ct-cushion-371/
 2121304, CUSHION, 0.7, VS2, G, EX, EX, VG, N, 5.65-4.63×3.13, GIA,"$2,317.90",https://capitalwholesalediamonds.com/product/0-7-ct-cushion-617/
 2132839, CUSHION, 0.7, VS2, E, VG, EX, VG, N, 4.84-4.80×3.45, GIA,"$2,318.24",https://capitalwholesalediamonds.com/product/0-7-ct-cushion-677/
 220344-4, CUSHION, 1.01, SI1, K, VG, EX, EX, N, 5.84-5.25×3.75, GIA,"$2,319.12",https://capitalwholesalediamonds.com/product/1-01-ct-cushion-117/
 2068161, CUSHION, 0.71, VS2, H, EX, EX, EX, N, 5.39-4.77×3.31, GIA,"$2,319.93",https://capitalwholesalediamonds.com/product/0-71-ct-cushion-48/
 2013979, CUSHION, 0.71, VS2, G, EX, EX, EX, N, 5.14-4.88×3.30, GIA,"$2,320.06",https://capitalwholesalediamonds.com/product/0-71-ct-cushion-14/
 2032692, CUSHION, 0.7, VS2, D, EX, EX, VG, F, 5.50-4.77×3.25, GIA,"$2,320.22",https://capitalwholesalediamonds.com/product/0-7-ct-cushion-275/
 2028920, CUSHION, 0.7, VS1, G, VG, EX, VG, N, 5.02-4.76×3.32, GIA,"$2,321.61",https://capitalwholesalediamonds.com/product/0-7-ct-cushion-30/
