Product_id,Shape,Weight,Clarity,Colour,Cut,Polish,Symmetry,Fluorescence,Messurements,Price,Product_url
 2010751, EMERALD, 0.55, VVS1, L, EX, GD, GD, GD, ST,$907.77,https://capitalwholesalediamonds.com/product/0-55-ct-emerald-19/
 2003663, EMERALD, 0.51, VS2, K, VG, GD, GD, GD, F,$918.47,https://capitalwholesalediamonds.com/product/0-51-ct-emerald-134/
 2123393, EMERALD, 0.65, SI2, M, EX, EX, EX, VG, N,$921.80,https://capitalwholesalediamonds.com/product/0-65-ct-emerald-19/
 2134394, EMERALD, 0.51, VS1, M, EX, EX, EX, VG, M,$959.86,https://capitalwholesalediamonds.com/product/0-51-ct-emerald-172/
 2110173, EMERALD, 0.5, VVS1, L, EX, EX, EX, VG, N,$962.51,https://capitalwholesalediamonds.com/product/0-5-ct-emerald-521/
 2002157, EMERALD, 0.51, VS2, I, GD, GD, GD, F, F,$983.16,https://capitalwholesalediamonds.com/product/0-51-ct-emerald-136/
 2134385, EMERALD, 0.55, VVS1, M, EX, VG, VG, GD, F,$991.80,https://capitalwholesalediamonds.com/product/0-55-ct-emerald-31/
 2138939, EMERALD, 0.65, SI2, L, EX, EX, EX, VG, ST,$997.85,https://capitalwholesalediamonds.com/product/0-65-ct-emerald-48/
 2106513, EMERALD, 0.51, VVS2, M, EX, EX, EX, GD, N,$999.67,https://capitalwholesalediamonds.com/product/0-51-ct-emerald-67/
 2047259, EMERALD, 0.52, VVS1, L, EX, EX, EX, VG, N,"$1,000.20",https://capitalwholesalediamonds.com/product/0-52-ct-emerald-45/
 1987168, EMERALD, 0.52, SI1, G, VG, GD, GD, GD, N,"$1,007.94",https://capitalwholesalediamonds.com/product/0-52-ct-emerald-2/
 2130972, EMERALD, 0.52, VS2, K, EX, EX, EX, VG, F,"$1,016.29",https://capitalwholesalediamonds.com/product/0-52-ct-emerald-78/
 2015032, EMERALD, 0.5, SI1, J, EX, EX, EX, VG, N,"$1,024.28",https://capitalwholesalediamonds.com/product/0-5-ct-emerald-234/
 1960718, EMERALD, 0.6, SI1, K, EX, EX, EX, EX, F,"$1,035.89",https://capitalwholesalediamonds.com/product/0-6-ct-emerald-45/
 2061931, EMERALD, 0.5, SI2, G, EX, EX, EX, VG, F,"$1,038.64",https://capitalwholesalediamonds.com/product/0-5-ct-emerald-431/
