Product_id,Shape,Carat,Clarity,Colour,Cut,Polish,Symmetry,Fluorescence,Measurements,Lab,Price,Product_url
2079724, HEART,0.51, SI1, L, EX, EX, VG, F, 4.64-5.48×3.33, GIA,$874.46,https://capitalwholesalediamonds.com/product/0-51-ct-heart-32/
1979108, HEART,0.51, SI2, E, VG, EX, VG, N, 4.61-5.54×3.34, GIA,$881.92,https://capitalwholesalediamonds.com/product/0-51-ct-heart/
2030926, HEART,0.5, SI1, K, GD, EX, VG, N, 4.92-5.27×2.88, GIA,$886.44,https://capitalwholesalediamonds.com/product/0-5-ct-heart-16/
2108086, HEART,0.5, SI1, L, EX, EX, VG, F, 4.87-5.38×3.23, GIA,$923.59,https://capitalwholesalediamonds.com/product/0-5-ct-heart-362/
2069770, HEART,0.5, SI2, I, VG, EX, GD, F, 4.71-5.61×3.29, GIA,$923.67,https://capitalwholesalediamonds.com/product/0-5-ct-heart-440/
2043328, HEART,0.5, SI2, J, EX, EX, VG, N, 4.95-5.47×3.16, GIA,$927.07,https://capitalwholesalediamonds.com/product/0-5-ct-heart-254/
2060848, HEART,0.5, SI1, J, EX, EX, VG, F, 4.64-5.43×3.26, GIA,$936.36,https://capitalwholesalediamonds.com/product/0-5-ct-heart-51/
2095409, HEART,0.52, SI1, L, EX, EX, EX, F, 4.96-5.47×3.19, GIA,$943.54,https://capitalwholesalediamonds.com/product/0-52-ct-heart-50/
2088201, HEART,0.5, SI2, J, GD, EX, GD, N, 4.52-5.25×3.30, GIA,$958.30,https://capitalwholesalediamonds.com/product/0-5-ct-heart-320/
2096994, HEART,0.51, SI1, L, EX, EX, VG, F, 4.84-5.44×3.24, GIA,$958.99,https://capitalwholesalediamonds.com/product/0-51-ct-heart-107/
2138322, HEART,0.5, SI1, K, EX, EX, VG, F, 4.84-5.46×3.22, GIA,$975.99,https://capitalwholesalediamonds.com/product/0-5-ct-heart-674/
2095407, HEART,0.5, SI1, K, GD, EX, VG, N, 4.67-5.34×3.39, GIA,$986.99,https://capitalwholesalediamonds.com/product/0-5-ct-heart-538/
2008912, HEART,0.51, SI1, K, EX, EX, VG, F, 4.68-5.46×3.20, GIA,$987.27,https://capitalwholesalediamonds.com/product/0-51-ct-heart-80/
2087189, HEART,0.5, SI2, K, GD, EX, VG, N, 4.62-5.34×3.29, GIA,$987.87,https://capitalwholesalediamonds.com/product/0-5-ct-heart-311/
2098884, HEART,0.51, SI2, I, VG, GD, VG, N, 4.73-5.53×3.25, GIA,$989.71,https://capitalwholesalediamonds.com/product/0-51-ct-heart-44/
2089866, HEART,0.5, SI2, K, VG, EX, VG, F, 4.84-5.25×3.20, GIA,$997.10,https://capitalwholesalediamonds.com/product/0-5-ct-heart-310/
2118111, HEART,0.55, SI1, K, VG, EX, VG, M, 4.61-5.55×3.36, GIA,"$1,002.56",https://capitalwholesalediamonds.com/product/0-55-ct-heart-11/
2134444, HEART,0.5, VS1, M, VG, EX, VG, N, 4.87-5.51×3.16, GIA,"$1,008.17",https://capitalwholesalediamonds.com/product/0-5-ct-heart-649/
2066040, HEART,0.52, VS2, J, FG, EX, VG, N, 4.33-5.20×3.52, GIA,"$1,008.62",https://capitalwholesalediamonds.com/product/0-52-ct-heart-7/
2088195, HEART,0.5, VS2, L, EX, EX, VG, F, 4.60-5.46×3.30, GIA,"$1,009.78",https://capitalwholesalediamonds.com/product/0-5-ct-heart-121/
2123428, HEART,0.51, VS1, L, EX, EX, EX, F, 4.64-5.47×3.29, GIA,"$1,010.43",https://capitalwholesalediamonds.com/product/0-51-ct-heart-70/
2090594, HEART,0.5, SI1, K, EX, EX, VG, M, 4.61-5.47×3.29, GIA,"$1,011.48",https://capitalwholesalediamonds.com/product/0-5-ct-heart-516/
2093560, HEART,0.57, SI2, K, EX, EX, VG, M, 4.94-5.73×3.36, GIA,"$1,012.31",https://capitalwholesalediamonds.com/product/0-57-ct-heart-4/
2134437, HEART,0.51, VVS2, L, VG, EX, VG, F, 4.46-5.35×3.29, GIA,"$1,013.72",https://capitalwholesalediamonds.com/product/0-51-ct-heart-156/
2095408, HEART,0.5, SI1, K, GD, EX, VG, N, 4.62-5.37×3.31, GIA,"$1,015.74",https://capitalwholesalediamonds.com/product/0-5-ct-heart-321/
2095412, HEART,0.51, SI2, J, EX, EX, VG, M, 4.92-5.48×3.30, GIA,"$1,016.24",https://capitalwholesalediamonds.com/product/0-51-ct-heart-47/
2062031, HEART,0.5, SI1, J, GD, VG, GD, F, 4.75-5.48×3.01, GIA,"$1,020.02",https://capitalwholesalediamonds.com/product/0-5-ct-heart-276/
2063157, HEART,0.52, VVS2, L, EX, EX, EX, N, 4.97-5.58×3.36, GIA,"$1,020.48",https://capitalwholesalediamonds.com/product/0-52-ct-heart-3/
2105123, HEART,0.54, SI2, K, EX, EX, EX, N, 4.75-5.63×3.37, GIA,"$1,022.68",https://capitalwholesalediamonds.com/product/0-54-ct-heart-4/
2090597, HEART,0.5, SI2, J, EX, EX, GD, F, 4.68-5.42×3.27, GIA,"$1,029.28",https://capitalwholesalediamonds.com/product/0-5-ct-heart-522/
2097005, HEART,0.5, SI2, J, VG, EX, VG, N, 4.48-5.40×3.33, GIA,"$1,030.09",https://capitalwholesalediamonds.com/product/0-5-ct-heart-332/
2104149, HEART,0.5, SI1, K, EX, EX, VG, N, 4.81-5.59×3.34, GIA,"$1,036.92",https://capitalwholesalediamonds.com/product/0-5-ct-heart-528/
2110265, HEART,0.5, SI2, G, VG, GD, VG, ST, 4.50-5.40×3.28, GIA,"$1,041.06",https://capitalwholesalediamonds.com/product/0-5-ct-heart-567/
2108085, HEART,0.5, SI1, J, VG, EX, VG, VS, 4.66-5.53×3.37, GIA,"$1,041.16",https://capitalwholesalediamonds.com/product/0-5-ct-heart-570/
2112879, HEART,0.51, SI2, I, EX, EX, EX, F, 4.75-5.64×3.18, GIA,"$1,044.37",https://capitalwholesalediamonds.com/product/0-51-ct-heart-118/
2067214, HEART,0.5, SI2, J, EX, EX, VG, F, 4.85-5.35×3.15, GIA,"$1,044.42",https://capitalwholesalediamonds.com/product/0-5-ct-heart-33/
2063202, HEART,0.5, SI1, K, VG, EX, VG, N, 5.05-5.42×3.00, GIA,"$1,044.49",https://capitalwholesalediamonds.com/product/0-5-ct-heart-54/
2088200, HEART,0.5, SI2, I, EX, EX, VG, N, 4.87-5.38×3.24, GIA,"$1,046.19",https://capitalwholesalediamonds.com/product/0-5-ct-heart-518/
2096993, HEART,0.5, SI1, K, VG, VG, VG, F, 4.90-5.37×3.32, GIA,"$1,050.40",https://capitalwholesalediamonds.com/product/0-5-ct-heart-131/
2088202, HEART,0.5, SI2, J, VG, VG, VG, N, 4.63-5.57×3.39, GIA,"$1,052.94",https://capitalwholesalediamonds.com/product/0-5-ct-heart-515/
2110264, HEART,0.5, SI1, K, EX, EX, VG, N, 4.74-5.32×3.23, GIA,"$1,053.72",https://capitalwholesalediamonds.com/product/0-5-ct-heart-170/
1952098, HEART,0.5, SI1, H, FG, EX, VG, N, 4.23-5.31×3.50, GIA,"$1,055.57",https://capitalwholesalediamonds.com/product/0-5-ct-heart/
2068429, HEART,0.5, SI1, J, GD, EX, F, N, 5.10-5.48×2.88, GIA,"$1,056.37",https://capitalwholesalediamonds.com/product/0-5-ct-heart-430/
2063214, HEART,0.5, SI2, J, VG, EX, VG, N, 4.58-5.50×3.34, GIA,"$1,057.13",https://capitalwholesalediamonds.com/product/0-5-ct-heart-52/
2081759, HEART,0.5, SI1, J, VG, EX, VG, N, 4.51-5.43×3.28, GIA,"$1,062.30",https://capitalwholesalediamonds.com/product/0-5-ct-heart-474/
2066048, HEART,0.51, SI1, I, EX, EX, VG, ST, 4.61-5.46×3.24, GIA,"$1,063.42",https://capitalwholesalediamonds.com/product/0-51-ct-heart-7/
2069767, HEART,0.51, SI1, J, EX, EX, VG, ST, 4.68-5.48×3.26, GIA,"$1,064.31",https://capitalwholesalediamonds.com/product/0-51-ct-heart-136/
2064842, HEART,0.5, SI1, J, VG, VG, VG, F, 5.10-5.45×2.98, GIA,"$1,066.41",https://capitalwholesalediamonds.com/product/0-5-ct-heart-275/
2118108, HEART,0.5, VS2, J, GD, VG, GD, N, 4.59-5.57×3.22, GIA,"$1,066.42",https://capitalwholesalediamonds.com/product/0-5-ct-heart-539/
