Product_id,Shape,Carat,Clarity,Colour,Cut,Polish,Symmetry,Fluorescence,Measurements,Lab,Price,Product_url
2052906, ROUND,0.5, SI1, O-P, GD, EX, VG, ST, 4.81-4.87×3.23, GIA,$783.32,https://capitalwholesalediamonds.com/product/0-5-ct-round-798/
2138128, ROUND,0.5, SI1, L, EX, EX, VG, F, 5.03-5.09×3.16, GIA,$934.64,https://capitalwholesalediamonds.com/product/0-5-ct-round-5804/
2049308, ROUND,0.5, VVS1, N, EX, EX, EX, N, 5.06-5.09×3.18, GIA,$974.42,https://capitalwholesalediamonds.com/product/0-5-ct-round-4088/
2030081, ROUND,0.53, VVS1, M, EX, EX, EX, N, 5.26-5.28×3.17, GIA,$996.89,https://capitalwholesalediamonds.com/product/0-53-ct-round-29/
2127491, ROUND,0.5, SI2, J, VG, VG, GD, F, 5.13-5.18×3.07, GIA,"$1,007.34",https://capitalwholesalediamonds.com/product/0-5-ct-round-5235/
2021344, ROUND,0.51, VVS1, M, EX, EX, EX, N, 5.12-5.14×3.18, GIA,"$1,013.74",https://capitalwholesalediamonds.com/product/0-51-ct-round-91/
2113987, ROUND,0.5, VVS2, M, EX, EX, EX, M, 5.05-5.08×3.15, GIA,"$1,035.14",https://capitalwholesalediamonds.com/product/0-5-ct-round-3745/
2084356, ROUND,0.5, SI2, J, GD, VG, VG, F, 4.89-4.94×3.22, GIA,"$1,044.44",https://capitalwholesalediamonds.com/product/0-5-ct-round-356/
2061745, ROUND,0.52, SI2, K, EX, EX, EX, N, 5.18-5.21×3.16, GIA,"$1,058.48",https://capitalwholesalediamonds.com/product/0-52-ct-round-5/
2049418, ROUND,0.55, SI2, K, EX, EX, EX, F, 5.25-5.27×3.25, GIA,"$1,072.22",https://capitalwholesalediamonds.com/product/0-55-ct-round-6/
2103653, ROUND,0.51, VVS2, O-P, EX, EX, EX, N, 5.08-5.10×3.18, GIA,"$1,084.96",https://capitalwholesalediamonds.com/product/0-51-ct-round-254/
1970097, ROUND,0.53, VS2, L, EX, EX, EX, N, 5.17-5.20×3.22, GIA,"$1,088.10",https://capitalwholesalediamonds.com/product/0-53-ct-round/
2125086, ROUND,0.5, SI2, J, VG, EX, EX, F, 4.93-4.96×3.20, GIA,"$1,089.32",https://capitalwholesalediamonds.com/product/0-5-ct-round-2363/
2086000, ROUND,0.5, VVS2, M, EX, EX, EX, M, 5.09-5.11×3.17, GIA,"$1,101.93",https://capitalwholesalediamonds.com/product/0-5-ct-round-362/
2123187, ROUND,0.5, SI1, K, VG, EX, EX, F, 5.00-5.04×3.17, GIA,"$1,104.47",https://capitalwholesalediamonds.com/product/0-5-ct-round-3812/
2000119, ROUND,0.52, SI2, J, EX, EX, EX, F, 5.15-5.16×3.23, GIA,"$1,116.78",https://capitalwholesalediamonds.com/product/0-52-ct-round-187/
2056135, ROUND,0.5, SI2, K, EX, EX, EX, N, 5.14-5.16×3.07, GIA,"$1,118.02",https://capitalwholesalediamonds.com/product/0-5-ct-round-819/
2123103, ROUND,0.73, SI1, O-P, GD, GD, GD, N, 5.56-5.59×3.59, GIA,"$1,118.60",https://capitalwholesalediamonds.com/product/0-73-ct-round-46/
2095100, ROUND,0.51, VVS2, M, EX, EX, EX, F, 5.09-5.12×3.21, GIA,"$1,121.45",https://capitalwholesalediamonds.com/product/0-51-ct-round-55/
2130787, ROUND,0.5, SI2, J, GD, EX, VG, F, 4.99-5.04×3.11, GIA,"$1,121.45",https://capitalwholesalediamonds.com/product/0-5-ct-round-5863/
2070321, ROUND,0.5, VVS1, N, VG, EX, EX, F, 4.95-4.99×3.19, GIA,"$1,127.26",https://capitalwholesalediamonds.com/product/0-5-ct-round-868/
