Product_id,Shape,Carat,Clarity,Colour,Cut,Polish,Symmetry,Fluorescence,Price,Product_url
2058036, EMERALD,0.72, SI2, K, EX, EX, VG, M,"$1,441.39",https://capitalwholesalediamonds.com/product/0-72-ct-emerald-36/
1017100, Pear,0.7, VS1, H,, EX, EX, NONE,"$1,286.99",https://capitalwholesalediamonds.com/product/0-7-ct-pear-241/
1974252, EMERALD,0.65, VS2, F, EX, VG, VG, ST,"$1,516.56",https://capitalwholesalediamonds.com/product/0-65-ct-emerald-2/
2103022, CUSHION,0.52, VS2, E, EX, EX, EX, N,"$1,632.30",https://capitalwholesalediamonds.com/product/0-52-ct-cushion-34/
2110823, PRINCESS,0.5, SI2, K, EX, EX, VG, F,"$1,011.50",https://capitalwholesalediamonds.com/product/0-5-ct-princess-451/
2087462, PRINCESS,0.72, VS1, F, EX, EX, EX, N,"$3,159.16",https://capitalwholesalediamonds.com/product/0-72-ct-princess-85/
2113167, PEAR,0.58, SI1, H, EX, EX, VG, N,"$1,648.30",https://capitalwholesalediamonds.com/product/0-58-ct-pear-6/
2110165, EMERALD,0.73, SI1, M, EX, EX, VG, N,"$1,349.92",https://capitalwholesalediamonds.com/product/0-73-ct-emerald-33/
2119611, PEAR,0.5, SI1, G, EX, EX, VG, N,"$1,667.35",https://capitalwholesalediamonds.com/product/0-5-ct-pear-141/
2130972, EMERALD,0.52, VS2, K, EX, EX, VG, F,"$1,016.29",https://capitalwholesalediamonds.com/product/0-52-ct-emerald-78/
2117379, PRINCESS,0.5, VS1, K, GD, EX, VG, N,"$1,113.78",https://capitalwholesalediamonds.com/product/0-5-ct-princess-173/
2137145, HEART,0.5, VS1, J, EX, EX, GD, M,"$1,232.86",https://capitalwholesalediamonds.com/product/0-5-ct-heart-668/
2094612, HEART,0.7, SI1, F, EX, EX, EX, N,"$2,705.84",https://capitalwholesalediamonds.com/product/0-7-ct-heart-158/
 111000-7341, PRINCESS,1.0, SI2, G, EX, VG, VG, N,"$3,416.14",https://capitalwholesalediamonds.com/product/1-ct-princess-26/
2130548, ROUND,0.5, VVS2, J, VG, EX, VG, F,"$1,673.13",https://capitalwholesalediamonds.com/product/0-5-ct-round-5899/
2116111, PEAR,0.53, VS2, H, EX, EX, EX, F,"$1,857.33",https://capitalwholesalediamonds.com/product/0-53-ct-pear-21/
2138621, PRINCESS,0.9, VS1, J, EX, EX, VG, N,"$3,336.37",https://capitalwholesalediamonds.com/product/0-9-ct-princess-112/
2075418, ROUND,0.7, SI1, L, VG, EX, VG, N,"$1,814.15",https://capitalwholesalediamonds.com/product/0-7-ct-round-223/
2130348, PRINCESS,0.5, SI1, H, EX, EX, GD, N,"$1,362.31",https://capitalwholesalediamonds.com/product/0-5-ct-princess-734/
2135279, ROUND,0.5, VS1, K, VG, EX, VG, F,"$1,463.62",https://capitalwholesalediamonds.com/product/0-5-ct-round-6178/
2083278, ROUND,0.51, SI1, J, EX, EX, EX, F,"$1,563.22",https://capitalwholesalediamonds.com/product/0-51-ct-round-43/
2047134, CUSHION,0.53, VVS2, E, EX, EX, EX, N,"$1,652.38",https://capitalwholesalediamonds.com/product/0-53-ct-cushion-55/
2102234, PEAR,0.9, VS2, L, GD, EX, VG, F,"$2,464.64",https://capitalwholesalediamonds.com/product/0-9-ct-pear-126/
2124465, MARQUISE,0.7, VS2, G, EX, EX, VG, ST,"$3,139.18",https://capitalwholesalediamonds.com/product/0-7-ct-marquise-40/
 220506-367, CUSHION,1.01, SI2, L, EX, EX, VG, F,"$2,284.91",https://capitalwholesalediamonds.com/product/1-01-ct-cushion-277/
 220218-98, ROUND,1.0, SI1, S-T, GD, EX, VG, N,"$1,677.00",https://capitalwholesalediamonds.com/product/1-ct-round-319/
2124671, PEAR,0.5, SI1, G, EX, EX, VG, N,"$1,690.10",https://capitalwholesalediamonds.com/product/0-5-ct-pear-451/
2036491, PRINCESS,0.7, VS2, F, EX, EX, VG, N,"$2,455.64",https://capitalwholesalediamonds.com/product/0-7-ct-princess-557/
2128175, PRINCESS,0.5, SI1, G, EX, EX, VG, N,"$1,561.63",https://capitalwholesalediamonds.com/product/0-5-ct-princess-203/
2054045, CUSHION,0.7, VS1, G, EX, EX, VG, N,"$2,479.60",https://capitalwholesalediamonds.com/product/0-7-ct-cushion-55/
